Connecting to host vps.wood.ninja, port 5201
[  5] local 10.1.101.130 port 60548 connected to 50.116.48.94 port 5201
[  5] 292.00-293.00 sec  52.5 MBytes   440 Mbits/sec   83    581 KBytes       
[  5] 293.00-294.00 sec  42.5 MBytes   357 Mbits/sec    6    470 KBytes       
[  5] 294.00-295.00 sec  28.8 MBytes   241 Mbits/sec    0    513 KBytes       
[  5] 295.00-296.00 sec  36.2 MBytes   304 Mbits/sec    1    405 KBytes       
[  5] 296.00-297.00 sec  40.0 MBytes   336 Mbits/sec    0    469 KBytes       
[  5] 297.00-298.00 sec  45.0 MBytes   377 Mbits/sec    0    534 KBytes       
[  5] 298.00-299.00 sec  47.5 MBytes   398 Mbits/sec    0    596 KBytes       
[  5] 299.00-300.00 sec  48.8 MBytes   409 Mbits/sec    0    652 KBytes       
[  5] 300.00-301.00 sec  48.8 MBytes   409 Mbits/sec  110    496 KBytes       
[  5] 301.00-302.00 sec  42.5 MBytes   357 Mbits/sec    0    570 KBytes       
[  5] 302.00-303.00 sec  50.0 MBytes   419 Mbits/sec    0    624 KBytes       
