RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
DMZ2054_access_in_#64,268438661,219075,2022-03-02T19:32:24Z,2024-01-16T18:01:33Z
DMZ2054_access_in_#65,268438662,1147811,2022-01-22T18:31:56Z,2024-01-18T07:34:42Z
DMZ2054_access_in_#66,268438663,0, , 
DMZ2054_access_in_#67,268438664,350,2022-01-23T20:23:31Z,2022-10-17T01:33:46Z
DMZ2054_access_in_#68,268438665,0, , 
DMZ2054_access_in_#69,268438666,0, , 
DMZ2054_access_in_#70,268438667,0, , 
DMZ2054_access_in_#71,268438668,0, , 
DMZ2054_access_in_#72,268438669,0, , 
DMZ2054_access_in_#73-Informatica,268439038,143691,2022-01-21T23:00:09Z,2024-01-18T18:29:25Z
DMZ2054_access_in_#73,268438670,131946367,2022-01-20T01:43:08Z,2024-01-18T19:03:55Z
DMZ2054_access_in_#74,268438671,0, , 
DMZ2054_access_in_#75,268438672,299418220,2022-01-20T01:43:07Z,2024-01-18T19:03:56Z
DMZ2054_access_in_#76,268438673,742042,2022-01-21T22:31:49Z,2024-01-18T19:01:01Z
DMZ2054_access_in_#77,268438674,0, , 
DMZ2054_access_in_#78,268438675,0, , 
DMZ2054_access_in_#79,268438676,0, , 
DMZ2054_access_in_#80,268438677,3299736,2022-01-21T22:15:47Z,2024-01-18T19:02:11Z
DMZ2054_access_in_#81,268438678,0, , 
DMZ2054_access_in_#82,268438679,0, , 
DMZ2054_access_in_#83,268438680,17364801,2022-01-20T01:43:13Z,2024-01-18T19:03:54Z
DMZ2054_access_in_#84,268438681,0, , 
DMZ2054_access_in_#85,268438682,0, , 
DMZ2054_access_in_#86,268438683,15388973,2022-01-21T22:20:03Z,2024-01-18T19:03:50Z
DMZ2054_access_in_#87,268438684,75949,2022-01-22T00:27:31Z,2024-01-18T04:29:49Z
DMZ2054_access_in_#88,268438685,10686,2022-01-22T00:03:51Z,2024-01-18T04:29:00Z
DMZ2054_access_in_#89,268438686,0, , 
DMZ2054_access_in_#90,268438687,0, , 
DMZ2054_access_in_#91,268438688,0, , 
DMZ2054_access_in_#92,268438689,0, , 
DMZ2054_access_in_#93,268438690,904,2022-01-26T04:47:49Z,2024-01-17T14:17:42Z
DMZ2054_access_in_#94,268438691,0, , 
DMZ2054_access_in_#95,268438692,0, , 
DMZ2054_access_in_#96,268438693,0, , 
DMZ2054_access_in_#97,268438694,0, , 
DMZ2054_access_in_#98,268438695,0, , 
DMZ2054_access_in_#99,268438696,3428392,2022-01-20T01:43:15Z,2024-01-18T19:02:49Z
DMZ2054_access_in_#100,268438697,0, , 
DMZ2054_access_in_#101,268438698,73828,2022-01-22T00:42:20Z,2024-01-18T18:45:31Z
DMZ2054_access_in_#102,268438699,311,2022-01-24T22:16:50Z,2023-12-12T15:53:11Z
DMZ2054_access_in_#103,268438700,0, , 
DMZ2054_access_in_#104,268438701,0, , 
DMZ2054_access_in_#105,268438702,335,2022-01-23T20:24:52Z,2024-01-16T15:59:52Z
DMZ2054_access_in_#106,268438703,283672,2022-01-20T01:50:14Z,2024-01-18T19:02:57Z
DMZ2054_access_in_#107,268438704,1510593,2022-03-08T04:30:55Z,2024-01-18T19:02:30Z
DMZ2054_access_in_#108,268438705,4412411,2022-01-20T01:43:19Z,2024-01-18T19:03:34Z
DMZ2054_access_in_#109,268438706,0, , 
DMZ2054_access_in_#110,268438707,0, , 
DMZ2054_access_in_#111,268438708,0, , 
DMZ2054_access_in_#112,268438709,0, , 
DMZ2054_access_in_#113,268438710,15205103,2022-01-20T01:43:12Z,2024-01-18T19:03:43Z
DMZ2054_access_in_#114,268438711,0, , 
DMZ2054_access_in_#115,268438712,0, , 
DMZ2054_access_in_#116,268438713,0, , 
DMZ2054_access_in_#117,268438714,0, , 
DMZ2054_access_in_#118,268438715,890491,2022-01-20T01:41:47Z,2022-06-16T03:27:32Z
DMZ2054_access_in_#119,268438716,0, , 
DMZ2054_access_in_#120,268438717,0, , 
DMZ2054_access_in_#121,268438718,52,2022-03-01T07:35:51Z,2022-05-19T09:54:30Z
DMZ2054_access_in_#122,268438719,0, , 
DMZ2054_access_in_#123,268438720,0, , 
DMZ2054_access_in_#124,268438721,45541654,2022-01-20T01:41:02Z,2022-08-04T04:55:01Z
DMZ2054_access_in_#125,268438722,18659309,2022-01-20T01:41:03Z,2022-08-04T04:57:55Z
DMZ2054_access_in_#126,268438723,16988918,2022-01-20T01:43:19Z,2024-01-18T19:02:29Z
DMZ2054_access_in_#127,268438724,283205,2022-01-20T01:44:40Z,2024-01-18T19:02:07Z
